key,en,vi,ar,bn,bg,zh,hr,cs,da,nl,et,fi,fr,de,el,he,hi,hu,id,it,ja,ko,lv,lt,no,pl,pt,ro,ru,sr,sk,sl,es,sw,sv,th,tr,uk
et,Estonian,Tiếng Estonia,الإستونية,এস্তোনিয়ান,Естонски,爱沙尼亚语,Estonski,Estonština,Estisk,Estisch,Eesti,Viro,Estonien,Estnisch,Εσθονικά,אסטונית,एस्टोनियाई,Észt,Bahasa Estonia,Estone,エストニア語,에스토니아어,Igauņu,Estų,Estisk,Estoński,Estónio,Estoniană,Эстонский,Естонски,Estónčina,Estonščina,Estonio,Kiestonia,Estniska,เอสโตเนีย,Estonca,Естонська
fi,Finnish,Tiếng Phần Lan,الفنلندية,ফিনিশ,Фински,芬兰语,Finski,Finština,Finsk,Fins,Soome,Suomi,Finnois,Finnisch,Φινλανδικά,פינית,फ़िनिश,Finn,Bahasa Finlandia,Finlandese,フィンランド語,핀란드어,Somu,Suomių,Finsk,Fiński,Finlandês,Finlandeză,Финский,Фински,Fínčina,Finščina,Finlandés,Kifini,Finska,ฟินแลนด์,Fince,Фінська
fr,French,Tiếng Pháp,الفرنسية,ফরাসি,Френски,法语,Francuski,Francouzština,Fransk,Frans,Prantsuse,Ranska,Français,Französisch,Γαλλικά,צרפתית,फ़्रेंच,Francia,Bahasa Prancis,Francese,フランス語,프랑스어,Franču,Prancūzų,Fransk,Francuski,Francês,Franceză,Французский,Француски,Francúzština,Francoščina,Francés,Kifaransa,Franska,ฝรั่งเศส,Fransızca,Французька
de,German,Tiếng Đức,الألمانية,জার্মান,Немски,德语,Njemački,Němčina,Tysk,Duits,Saksa,Saksa,Allemand,Deutsch,Γερμανικά,גרמנית,जर्मन,Német,Bahasa Jerman,Tedesco,ドイツ語,독일어,Vācu,Vokiečių,Tysk,Niemiecki,Alemão,Germană,Немецкий,Немачки,Nemčina,Nemščina,Alemán,Kijerumani,Tyska,เยอรมัน,Almanca,Німецька
el,Greek,Tiếng Hy Lạp,اليونانية,গ্রিক,Гръцки,希腊语,Grčki,Řečtina,Græsk,Grieks,Kreeka,Kreikka,Grec,Griechisch,Ελληνικά,יוונית,ग्रीक,Görög,Bahasa Yunani,Greco,ギリシャ語,그리스어,Grieķu,Graikų,Gresk,Grecki,Grego,Greacă,Греческий,Грчки,Gréčtina,Grščina,Griego,Kigiriki,Grekiska,กรีก,Yunanca,Грецька
he,Hebrew,Tiếng Do Thái,العبرية,হিব্রু,Иврит,希伯来语,Hebrejski,Hebrejština,Hebraisk,Hebreeuws,Heebrea,Heprea,Hébreu,Hebräisch,Εβραϊκά,עברית,हिब्रू,Héber,Bahasa Ibrani,Ebraico,ヘブライ語,히브리어,Ivrits,Hebrajų,Hebraisk,Hebrajski,Hebraico,Ebraică,Иврит,Хебрејски,Hebrejčina,Hebrejščina,Hebreo,Kiebrania,Hebreiska,ฮีบรู,İbranice,Іврит
hi,Hindi,Tiếng Hindi,الهندية,হিন্দি,Хинди,印地语,Hindski,Hindština,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Χίντι,הינדי,हिंदी,Hindi,Bahasa Hindi,Hindi,ヒンディー語,힌디어,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Хинди,Хинди,Hindčina,Hindijščina,Hindi,Kihindi,Hindi,ฮินดี,Hintçe,Гінді
hu,Hungarian,Tiếng Hungary,المجرية,হাঙ্গেরিয়ান,Унгарски,匈牙利语,Mađarski,Maďarština,Ungarsk,Hongaars,Ungari,Unkari,Hongrois,Ungarisch,Ουγγρικά,הונגרית,हंगेरियन,Magyar,Bahasa Hungaria,Ungherese,ハンガリー語,헝가리어,Ungāru,Vengrų,Ungarsk,Węgierski,Húngaro,Maghiară,Венгерский,Мађарски,Maďarčina,Madžarščina,Húngaro,Kihungaria,Ungerska,ฮังการี,Macarca,Угорська
id,Indonesian,Tiếng Indonesia,الإندونيسية,ইন্দোনেশিয়ান,Индонезийски,印度尼西亚语,Indonezijski,Indonéština,Indonesisk,Indonesisch,Indoneesia,Indonesia,Indonésien,Indonesisch,Ινδονησιακά,אינדונזית,इंडोनेशियाई,Indonéz,Bahasa Indonesia,Indonesiano,インドネシア語,인도네시아어,Indonēziešu,Indoneziečių,Indonesisk,Indonezyjski,Indonésio,Indoneziană,Индонезийский,Индонезијски,Indonézčina,Indonezijščina,Indonesio,Kiindonesia,Indonesiska,อินโดนีเซีย,Endonezce,Індонезійська
it,Italian,Tiếng Ý,الإيطالية,ইতালিয়ান,Италиански,意大利语,Talijanski,Italština,Italiensk,Italiaans,Itaalia,Italia,Italien,Italienisch,Ιταλικά,איטלקית,इतालवी,Olasz,Bahasa Italia,Italiano,イタリア語,이탈리아어,Itāļu,Italų,Italiensk,Włoski,Italiano,Italiană,Итальянский,Италијански,Taliančina,Italijanščina,Italiano,Kiitaliano,Italienska,อิตาลี,İtalyanca,Італійська
ja,Japanese,Tiếng Nhật,اليابانية,জাপানি,Японски,日语,Japanski,Japonština,Japansk,Japans,Jaapani,Japani,Japonais,Japanisch,Ιαπωνικά,יפנית,जापानी,Japán,Bahasa Jepang,Giapponese,日本語,일본어,Japāņu,Japonų,Japansk,Japoński,Japonês,Japoneză,Японский,Јапански,Japončina,Japonščina,Japonés,Kijapani,Japanska,ญี่ปุ่น,Japonca,Японська
ko,Korean,Tiếng Hàn,الكورية,কোরিয়ান,Корейски,韩语,Korejski,Korejština,Koreansk,Koreaans,Korea,Korea,Coréen,Koreanisch,Κορεατικά,קורנית,कोरियाई,Koreai,Bahasa Korea,Coreano,韓国語,한국어,Korejiešu,Korėjiečių,Koreansk,Koreański,Coreano,Coreeană,Корейский,Корејски,Kórejčina,Korejščina,Coreano,Kikorea,Koreanska,เกาหลี,Korece,Корейська
lv,Latvian,Tiếng Latvia,اللاتفية,লাটভিয়ান,Латвийски,拉脱维亚语,Latvijski,Lotyština,Lettisk,Lets,Läti,Latvia,Letton,Lettisch,Λετονικά,לטבית,लातवियाई,Lett,Bahasa Latvia,Lettone,ラトビア語,라트비아어,Latviešu,Latvių,Latvisk,Łotewski,Letão,Letonă,Латышский,Летонски,Lotyština,Latvijščina,Letón,Kilatvia,Lettiska,ลัตเวีย,Letonca,Латвійська
lt,Lithuanian,Tiếng Litva,الليتوانية,লিথুয়ানিয়ান,Литовски,立陶宛语,Litvanski,Litevština,Litauisk,Litouws,Leedu,Liettua,Lituanien,Litauisch,Λιθουανικά,ליטאית,लिथुआनियाई,Litván,Bahasa Lituania,Lituano,リトアニア語,리투아니아어,Lietuviešu,Lietuvių,Litauisk,Litewski,Lituano,Lituaniană,Литовский,Литвански,Litovčina,Litovščina,Lituano,Kilithuania,Litauiska,ลิทัวเนีย,Litvanca,Литовська
no,Norwegian,Tiếng Na Uy,النرويجية,নরওয়েজিয়ান,Норвежки,挪威语,Norveški,Norština,Norsk,Noors,Norra,Norja,Norvégien,Norwegisch,Νορβηγικά,נורווגית,नॉर्वेजियन,Norvég,Bahasa Norwegia,Norvegese,ノルウェー語,노르웨이어,Norvēģu,Norvegų,Norsk,Norweski,Norueguês,Norvegiană,Норвежский,Норвешки,Nórčina,Norveščina,Noruego,Kinorwe,Norska,นอร์เวย์,Norveçce,Норвезька
pl,Polish,Tiếng Ba Lan,البولندية,পোলিশ,Полски,波兰语,Poljski,Polština,Polsk,Pools,Poola,Puola,Polonais,Polnisch,Πολωνικά,פולנית,पोलिश,Lengyel,Bahasa Polandia,Polacco,ポーランド語,폴란드어,Poļu,Lenkų,Polsk,Polski,Polaco,Poloneză,Польский,Пољски,Poľština,Poljščina,Polaco,Kipolandi,Polska,โปแลนด์,Lehçe,Польська
pt,Portuguese,Tiếng Bồ Đào Nha,البرتغالية,পর্তুগিজ,Португалски,葡萄牙语,Portugalski,Portugalština,Portugisisk,Portugees,Portugali,Portugali,Portugais,Portugiesisch,Πορτογαλικά,פורטוגזית,पुर्तगाली,Portugál,Bahasa Portugis,Portoghese,ポルトガル語,포르투갈어,Portugāļu,Portugalų,Portugisisk,Portugalski,Português,Portugheză,Португальский,Португалски,Portugalčina,Portugalščina,Portugués,Kireno,Portugisiska,โปรตุเกส,Portekizce,Португальська
ro,Romanian,Tiếng Romania,الرومانية,রোমানিয়ান,Румънски,罗马尼亚语,Rumunjski,Rumunština,Rumænsk,Roemeens,Rumeenia,Romania,Roumain,Rumänisch,Ρουμανικά,רומנית,रोमानियाई,Román,Bahasa Rumania,Rumeno,ルーマニア語,루마니아어,Rumāņu,Rumunų,Rumensk,Rumuński,Romeno,Română,Румынский,Румунски,Rumunčina,Romunščina,Rumano,Kiromania,Rumänska,โรมาเนีย,Romence,Румунська
ru,Russian,Tiếng Nga,الروسية,রাশিয়ান,Руски,俄语,Ruski,Ruština,Russisk,Russisch,Vene,Venäjä,Russe,Russisch,Ρωσικά,רוסית,रूसी,Orosz,Bahasa Rusia,Russo,ロシア語,러시아어,Krievu,Rusų,Russisk,Rosyjski,Russo,Rusă,Русский,Руски,Ruština,Ruščina,Ruso,Kirusi,Ryska,รัสเซีย,Rusça,Російська
sr,Serbian,Tiếng Serbia,الصربية,সার্বিয়ান,Сръбски,塞尔维亚语,Srpski,Srbština,Serbisk,Servisch,Serbia,Serbia,Serbe,Serbisch,Σερβικά,סרבית,सर्बियाई,Szerb,Bahasa Serbia,Serbo,セルビア語,세르비아어,Serbu,Serbų,Serbisk,Serbski,Sérvio,Sârbă,Сербский,Српски,Srbčina,Srbščina,Serbio,Kiserbia,Serbiska,เซอร์เบีย,Sırpça,Сербська
sk,Slovak,Tiếng Slovak,السلوفاكية,স্লোভাক,Словашки,斯洛伐克语,Slovački,Slovenština,Slovakisk,Slowaaks,Slovaki,Slovakia,Slovaque,Slowakisch,Σλοβακικά,סלובקית,स्लोवाक,Szlovák,Bahasa Slowakia,Slovacco,スロバキア語,슬로바키아어,Slovāku,Slovakų,Slovakisk,Słowacki,Eslovaco,Slovacă,Словацкий,Словачки,Slovenčina,Slovaščina,Eslovaco,Kislovakia,Slovakiska,สโลวัก,Slovakça,Словацька
sl,Slovenian,Tiếng Slovenia,السلوفينية,স্লোভেনিয়ান,Словенски,斯洛文尼亚语,Slovenski,Slovinština,Slovensk,Sloveens,Sloveeni,Slovenia,Slovène,Slowenisch,Σλοβενικά,סלובנית,स्लोवेनियाई,Szlovén,Bahasa Slovenia,Sloveno,スロベニア語,슬로베니아어,Slovēņu,Slovėnų,Slovensk,Słoweński,Esloveno,Slovenă,Словенский,Словеначки,Slovinčina,Slovenščina,Esloveno,Kislovenia,Slovenska,สโลวีเนีย,Slovence,Словенська
es,Spanish,Tiếng Tây Ban Nha,الإسبانية,স্পেনিশ,Испански,西班牙语,Španjolski,Španělština,Spansk,Spaans,Hispaania,Espanja,Espagnol,Spanisch,Ισπανικά,ספרדית,स्पेनिश,Spanyol,Bahasa Spanyol,Spagnolo,スペイン語,스페인어,Spāņu,Ispanų,Spansk,Hiszpański,Espanhol,Spaniolă,Испанский,Шпански,Španielčina,Španščina,Español,Kihispania,Spanska,สเปน,İspanyolca,Іспанська
sw,Swahili,Tiếng Swahili,السواحيلية,সোয়াহিলি,Суахили,斯瓦希里语,Svahili,Svahilština,Swahili,Swahili,Suahiili,Swahili,Swahili,Suaheli,Σουαχίλι,סוואהילי,स्वाहिली,Szuahéli,Bahasa Swahili,Swahili,スワヒリ語,스와힐리어,Svahili,Suahilių,Swahili,Suahili,Suaíli,Swahili,Суахили,Свахили,Svahilčina,Svahilščina,Suajili,Kiswahili,Swahili,สวาฮิลี,Svahilice,Суахілі
sv,Swedish,Tiếng Thụy Điển,السويدية,সুইডিশ,Шведски,瑞典语,Švedski,Švédština,Svensk,Zweeds,Rootsi,Ruotsi,Suédois,Schwedisch,Σουηδικά,שוודית,स्वीडिश,Svéd,Bahasa Swedia,Svedese,スウェーデン語,스웨덴어,Zviedru,Švedų,Svensk,Szwedzki,Sueco,Suedeză,Шведский,Шведски,Švédčina,Švedščina,Sueco,Kiswidi,Svenska,สวีเดน,İsveççe,Шведська
th,Thai,Tiếng Thái,التايلاندية,থাই,Тайски,泰语,Tajlandski,Thajština,Thai,Thai,Tai,Thai,Thaï,Thai,Ταϊλανδικά,תאית,थाई,Thai,Bahasa Thai,Thailandese,タイ語,태국어,Taju,Tajų,Thai,Tajski,Tailandês,Thailandeză,Тайский,Тајландски,Thajčina,Tajščina,Tailandés,Kithai,Thailändska,ไทย,Tayca,Тайська
tr,Turkish,Tiếng Thổ Nhĩ Kỳ,التركية,তুর্কি,Турски,土耳其语,Turski,Turečtina,Tyrkisk,Turks,Türgi,Turkki,Turc,Türkisch,Τουρκικά,טורקית,तुर्की,Török,Bahasa Turki,Turco,トルコ語,터키어,Turku,Turkų,Tyrkisk,Turecki,Turco,Turcă,Турецкий,Турски,Turečtina,Turščina,Turco,Kituruki,Turkiska,ตุรกี,Türkçe,Турецька
uk,Ukrainian,Tiếng Ukraine,الأوكرانية,ইউক্রেনিয়ান,Украински,乌克兰语,Ukrajinski,Ukrajinština,Ukrainsk,Oekraïens,Ukraina,Ukraina,Ukrainien,Ukrainisch,Ουκρανικά,אוקראינית,यूक्रेनी,Ukrán,Bahasa Ukraina,Ucraino,ウクライナ語,우크라이나어,Ukraiņu,Ukrainiečių,Ukrainsk,Ukraiński,Ucraniano,Ucraineană,Украинский,Украјински,Ukrajinčina,Ukrajinščina,Ucraniano,Kiukrania,Ukrainska,ยูเครน,Ukraynaca,Українська
system,System language,Ngôn ngữ hệ thống,لغة النظام,সিস্টেমের ভাষা,Език на системата,系统语言,Sistemski jezik,Systémový jazyk,Systemsprog,Systeemtaal,Süsteemi keel,Järjestelmän kieli,Langue du système,Systemsprache,Γλώσσα συστήματος,שפת המערכת,सिस्टम की भाषा,Rendszernyelv,Bahasa sistem,Lingua del sistema,システム言語,시스템 언어,Sistēmas valoda,Sistemos kalba,Systemspråk,Język systemu,Idioma do sistema,Limba sistemului,Системный язык,Системски језик,Systémový jazyk,Sistemski jezik,Idioma del sistema,Lugha ya mfumo,Systemsspråk,ภาษาของระบบ,Sistem dili,Системна мова
seconds,seconds,giây,ثوانٍ,সেকেন্ড,секунди,秒,sekundi,sekund,sekunder,seconden,sekundit,sekuntia,secondes,Sekunden,δευτερόλεπτα,שניות,सेकंड,másodperc,detik,secondi,秒,초,sekundes,sekundės,sekunder,sekund,segundos,secunde,секунд,секунди,sekúnd,sekund,segundos,sekunde,sekunder,วินาที,saniye,секунд
minutes,minutes,phút,دقائق,মিনিট,минути,分钟,minuta,minut,minutter,minuten,minutit,minuuttia,minutes,Minuten,λεπτά,דקות,मिनट,perc,menit,minuti,分,분,minūtes,minutės,minutter,minut,minutos,minute,минут,минути,minút,minut,minutos,dakika,minuter,นาที,dakika,хвилин
hours,hours,giờ,ساعات,ঘণ্টা,часа,小时,sati,hodin,timer,uren,tundi,tuntia,heures,Stunden,ώρες,שעות,घंटे,óra,jam,ore,時間,시간,stundas,valandos,timer,godzin,horas,ore,часов,сати,hodín,ur,horas,saa,timmar,ชั่วโมง,saat,годин
days,days,ngày,أيام,दिन,дни,天,dana,dní,dage,dagen,päeva,päivää,jours,Tage,ημέρες,ימים,दिन,nap,hari,giorni,日,일,dienas,dienos,dager,dni,dias,zile,дней,дана,dni,dni,días,siku,dagar,วัน,gün,днів
months,months,tháng,أشهر,মাস,месеца,个月,mjeseci,měsíců,måneder,maanden,kuud,kuukautta,mois,Monate,μήνες,חודשים,महीने,hónap,bulan,mesi,ヶ月,개월,mēneši,mėnesiai,måneder,miesięcy,meses,luni,месяцев,месеци,mesiacov,mesecev,meses,miezi,månader,เดือน,ay,місяців
years,years,năm,سنوات,বছর,години,年,godina,let,år,jaren,aastat,vuotta,ans,Jahre,χρόνια,שנים,वर्ष,év,tahun,anni,年,년,gadi,metai,år,lat,anos,ani,лет,година,rokov,let,años,miaka,år,ปี,yıl,років
